OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
76,9830,7805,S1959,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Fernbrook Ln,1,Mainline,Active,L1860,2771-37,45.13766296,-93.46151566,2025-04-29
77,2208,7804,S1959,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Fernbrook Ln,1,Mainline,Active,L1860,2771-37,45.13770759,-93.46151992,2025-04-29
78,2181,7806,S1960,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Maple Grove Pkwy,1,Mainline,Active,L1859,2771-37,45.13773291,-93.47171164,2025-04-29
79,6028,7807,S1960,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Maple Grove Pkwy,2,Mainline,Active,L1859,2771-37,45.13770018,-93.47171579,2025-04-29
80,12076,7808,S1961,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/I-94,1,Mainline,Active,L1857,2771-37,45.13764802,-93.48440063,2025-04-29
81,11680,7809,S1961,Virtual Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/I-94,2,Mainline, , ,2771-37,45.13760636,-93.48440056,2025-04-29
82,18507,8208,S2045,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/W Broadway Ave,1,Auxiliary,Active,L3101,2771-117,45.12967828,-93.37773029,2025-04-29
83,18508,8209,S2045,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/W Broadway Ave,2,Mainline,Active,L3101,2771-117,45.12971143,-93.37772906,2025-04-29
84,18509,8210,S2045,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/W Broadway Ave,3,Mainline,Active,L3101,2771-117,45.12975194,-93.37773091,2025-04-29
85,18554,8218,S2046,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Zane Ave,1,Mainline,Active,L3104,2771-117,45.12756396,-93.35551655,2025-04-29
86,18555,8219,S2046,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Zane Ave,2,Mainline,Active,L3104,2771-117,45.1275987,-93.35550001,2025-04-29
87,18572,8227,S2047,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Noble Pkwy,1,Mainline,Active,L3109,2771-117,45.12397583,-93.3352741,2025-04-29
88,18571,8228,S2047,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Noble Pkwy,2,Mainline,Active,L3109,2771-117,45.12394071,-93.33528063,2025-04-29
89,18594,8236,S2048,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.252,1,Mainline,Active,L3112,2771-117,45.12266796,-93.31538191,2025-04-29
90,18595,8237,S2048,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.252,2,Mainline,Active,L3112,2771-117,45.12270582,-93.31537904,2025-04-29
91,18596,8238,S2048,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.252,3,Mainline,Active,L3112,2771-117,45.12274023,-93.31537617,2025-04-29
92,18602,8241,S2049,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.252 NB/T.H.610,1,Mainline,Active,L3126,2771-117,45.12256586,-93.30454812,2025-04-29
93,18601,8242,S2049,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.252 NB/T.H.610,2,Mainline,Active,L3126,2771-117,45.12260551,-93.30459476,2025-04-29
94,18615,8243,S2050,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/West River Rd,1,Mainline,Active,L3128,2771-117,45.12695091,-93.30035644,2025-04-29
